Date,Plot,Volume,NPOC,NPOC dilution,NPOC ug,TN,TN dilution,TN ug,
,,mL,ug/mL,ug/mL,ug,ug/mL,ug/mL,ug,
25JUN24,3,520,12.97,12.97,6744.4,2.457,2.457,1277.64,
25JUN24,4,1030,12.79,12.79,13173.7,1.775,1.775,1828.25,
25JUN24,5,390,11.85,11.85,4621.5,0.9052,0.9052,353.028,
25JUN24,6,15,8.120,8.120,121.8,3.275,3.275,49.125,
9JUL24,1,~175,15.25,15.25,#VALUE!,2.627,2.627,#VALUE!,
9JUL24,2,980,8.689,8.689,8515.22,1.362,1.362,1334.76,
9JUL24,3,150,16.23,16.23,2434.5,1.571,1.571,235.65,
9JUL24,4,240,12.87,12.87,3088.8,2.452,2.452,588.48,
9JUL24,5,50,12.83,12.83,641.5,2.508,2.508,125.4,
9JUL24,6,~20,7.594,7.594,#VALUE!,1.046,1.046,#VALUE!,
23JUL24,1,520,6.528,6.528,3394.56,1.025,1.025,533,
23JUL24,2,"1,300",10.61,10.61,13793,1.195,1.195,1553.5,
23JUL24,3,260,22.81,22.81,5930.6,1.826,1.826,474.76,
23JUL24,4,640,13.30,13.30,8512,1.438,1.438,920.32,
23JUL24,5,700,17.37,17.37,12159,0.5759,0.5759,403.13,
23JUL24,6,15,9.101,9.101,136.515,1.452,1.452,21.78,
6AUG24,1,220,8.992,8.992,1978.24,1.738,1.738,382.36,
6AUG24,2,420,11.24,11.24,4720.8,2.036,2.036,855.12,
6AUG24,3,200,13.74,13.74,2748,2.037,2.037,407.4,
6AUG24,4,460,16.80,16.80,7728,2.206,2.206,1014.76,
6AUG24,5,300,15.07,15.07,4521,0.9138,0.9138,274.14,
6AUG24,6,~150,6.403,6.403,#VALUE!,0.8354,0.8354,#VALUE!,
20AUG24,1,"7,680",4.932,4.932,37877.76,0.4912,0.4912,3772.416,
20AUG24,2,"8,570",5.448,5.448,46689.36,0.4094,0.4094,3508.558,
20AUG24,3,"2,960",5.296,5.296,15676.16,0.4831,0.4831,1429.976,
20AUG24,4,"2,740",9.394,9.394,25739.56,1.038,1.038,2844.12,
20AUG24,5,840,12.60,12.60,10584,0.9135,0.9135,767.34,
20AUG24,6,200,8.144,8.144,1628.8,0.6620,0.6620,132.4,
3SEPT24,1,940,5.945,5.945,5588.3,0.8181,0.8181,769.014,
3SEPT24,2,740,10.95,10.95,8103,0.9634,0.9634,712.916,
3SEPT24,3,480,13.46,13.46,6460.8,1.871,1.871,898.08,
3SEPT24,4,850,24.02,24.02,20417,1.732,1.732,1472.2,
3SEPT24,5,400,13.96,13.96,5584,6.403,6.403,2561.2,
3SEPT24,6,~40,7.195,7.195,#VALUE!,0.7777,0.7777,#VALUE!,
17SEPT24,1,"3,700",5.456,5.456,20187.2,0.6913,0.6913,2557.81,
17SEPT24,2,"7,360",9.213,9.213,67807.68,0.7676,0.7676,5649.536,
17SEPT24,3,"1,540",11.42,11.42,17586.8,1.424,1.424,2192.96,
17SEPT24,4,"1,320",16.04,16.04,21172.8,1.341,1.341,1770.12,
17SEPT24,5,800,13.26,13.26,10608,1.516,1.516,1212.8,
17SEPT24,6,25,9.406,9.406,235.15,1.154,1.154,28.85,
