Run,Date and plot,Date,Plot,Volume mL,PO4-P mg/L,PO4-P ug,NO3-N mg/L,NO3-N ug,NH4-N mg/L,NH4-N ug
10,21SEP21 1,9/21/21,1,1190,0.113,134.47,0.848957784,1010.259763,0.155,184.45
10,21SEP21 2,9/21/21,2,2810,0.032,89.92,0.358817533,1008.277268,BDL,BDL
10,21SEP21 3,9/21/21,3,4640,0.012,55.68,0.368940912,1711.885831,BDL,BDL
10,21SEP21 4,9/21/21,4,3120,0.019,59.28,0.2889381,901.4868712,BDL,BDL
10,21SEP21 5,9/21/21,5,2100,0.038,79.8,0.496186158,1041.990931,BDL,BDL
10,21SEP21 6,9/21/21,6,440,0.143,62.92,0.824071145,362.5913037,0.047,20.68
10,5OCT21 1,10/5/21,1,800,0.164,131.2,1.710991599,1368.793279,BDL,BDL
10,5OCT21 2,10/5/21,2,1390,0.025,34.75,0.515870505,717.0600021,BDL,BDL
10,5OCT21 3,10/5/21,3,1980,0.061,120.78,0.853457064,1689.844986,0.121,239.58
10,5OCT21 4,10/5/21,4,1940,0.069,133.86,0.643115751,1247.644557,0.035,67.9
10,5OCT21 5,10/5/21,5,640,0.042,26.88,0.693732644,443.9888924,BDL,BDL
10,5OCT21 6,10/5/21,6,290,0.149,43.21,0.495483145,143.6901121,BDL,BDL
10,18OCT21 1,10/18/21,1,1220,0.107,130.54,0.924601919,1128.014341,BDL,BDL
10,18OCT21 2,10/18/21,2,3220,0.013,41.86,0.333368484,1073.446518,BDL,BDL
10,18OCT21 3,10/18/21,3,2350,0.016,37.6,0.437133115,1027.262821,BDL,BDL
10,18OCT21 4,10/18/21,4,2180,0.091,198.38,0.614854652,1340.383142,0.704,1534.72
10,18OCT21 5,10/18/21,5,1930,0.042,81.06,0.367816092,709.8850575,BDL,BDL
10,18OCT21 6,10/18/21,6,860,0.033,28.38,0.297936659,256.2255264,BDL,BDL
10,1NOV21 1,11/1/21,1,820,0.3,246,1.311961756,1075.80864,0.607,497.74
10,1NOV21 2,11/1/21,2,1850,BDL,BDL,0.358255123,662.7719779,BDL,BDL
10,1NOV21 3,11/1/21,3,1020,0.053,54.06,0.994200148,1014.084151,BDL,BDL
10,1NOV21 4,11/1/21,4,1400,0.063,88.2,0.504762909,706.6680727,BDL,BDL
10,1NOV21 5,11/1/21,5,660,0.033,21.78,0.419417203,276.8153538,BDL,BDL
10,1NOV21 6,11/1/21,6,,0.083,0,0.204154803,0,0.028,0
10,16NOV21 1,11/16/21,1,610,0.156,95.16,1.638721923,999.6203733,0.022,13.42
10,16NOV21 2,11/16/21,2,1820,BDL,BDL,0.365144645,664.5632535,BDL,BDL
