basket.id,category,date,method,weight,wt.kg.ha,wt.Mg.ha
LB19,leaves,06/13/2017,bb.sample.wt,-0.858,-44.31818182,-0.044318182
LB20,leaves,06/13/2017,bb.sample.wt,-1.184,-61.15702479,-0.061157025
LB01,leaves,06/27/2017,bb.sample.wt,2.146,110.8471074,0.110847107
LB02,leaves,06/27/2017,bb.sample.wt,1.19,61.46694215,0.061466942
LB03,leaves,06/27/2017,bb.sample.wt,3.857,199.2252066,0.199225207
LB04,leaves,06/27/2017,bb.sample.wt,4.906,253.4090909,0.253409091
LB05,leaves,06/27/2017,bb.sample.wt,2.493,128.7706612,0.128770661
LB06,leaves,06/27/2017,bb.sample.wt,3.074,158.7809917,0.158780992
LB07,leaves,06/27/2017,bb.sample.wt,3.237,167.2004132,0.167200413
LB08,leaves,06/27/2017,bb.sample.wt,5.422,280.0619835,0.280061983
LB09,leaves,06/27/2017,bb.sample.wt,4.172,215.4958678,0.215495868
LB10,leaves,06/27/2017,bb.sample.wt,6.071,313.5847107,0.313584711
LB11,leaves,06/27/2017,bb.sample.wt,4.571,236.1053719,0.236105372
LB12,leaves,06/27/2017,bb.sample.wt,2.825,145.9194215,0.145919421
LB13,leaves,06/27/2017,bb.sample.wt,4.756,245.661157,0.245661157
LB14,leaves,06/27/2017,bb.sample.wt,3.027,156.3533058,0.156353306
LB15,leaves,06/27/2017,bb.sample.wt,4.272,220.661157,0.220661157
LB16,leaves,06/27/2017,bb.sample.wt,1.837,94.88636364,0.094886364
LB17,leaves,06/27/2017,bb.sample.wt,2.173,112.2417355,0.112241736
LB18,leaves,06/27/2017,bb.sample.wt,3.552,183.4710744,0.183471074
LB19,leaves,06/27/2017,bb.sample.wt,4.899,253.0475207,0.253047521
LB20,leaves,06/27/2017,bb.sample.wt,3.49,180.268595,0.180268595
LB01,leaves,07/12/2017,bb.sample.wt,3.463,178.8739669,0.178873967
LB02,leaves,07/12/2017,bb.sample.wt,2.107,108.8326446,0.108832645
LB03,leaves,07/12/2017,bb.sample.wt,5.398,278.822314,0.278822314
LB04,leaves,07/12/2017,bb.sample.wt,3.737,193.0268595,0.19302686
LB05,leaves,07/12/2017,bb.sample.wt,4.479,231.3533058,0.231353306
LB06,leaves,07/12/2017,bb.sample.wt,4.717,243.6466942,0.243646694
LB07,leaves,07/12/2017,bb.sample.wt,4.062,209.8140496,0.20981405
LB08,leaves,07/12/2017,bb.sample.wt,11.898,614.5661157,0.614566116
LB09,leaves,07/12/2017,bb.sample.wt,5.629,290.7541322,0.290754132
LB10,leaves,07/12/2017,bb.sample.wt,7.682,396.7975207,0.396797521
LB11,leaves,07/12/2017,bb.sample.wt,3.693,190.7541322,0.190754132
LB12,leaves,07/12/2017,bb.sample.wt,4.015,207.3863636,0.207386364
LB13,leaves,07/12/2017,bb.sample.wt,12.72,657.0247934,0.657024793
LB14,leaves,07/12/2017,bb.sample.wt,3.688,190.4958678,0.190495868
LB15,leaves,07/12/2017,bb.sample.wt,2.481,128.1508264,0.128150826
LB16,leaves,07/12/2017,bb.sample.wt,4.238,218.9049587,0.218904959
LB17,leaves,07/12/2017,bb.sample.wt,5.366,277.1694215,0.277169421
LB18,leaves,07/12/2017,bb.sample.wt,2.519,130.1136364,0.130113636
LB19,leaves,07/12/2017,bb.sample.wt,3.566,184.1942149,0.184194215
LB20,leaves,07/12/2017,bb.sample.wt,6.166,318.4917355,0.318491736
LB01,leaves,07/25/2017,bb.sample.wt,5.097,263.2747934,0.263274793
LB02,leaves,07/25/2017,bb.sample.wt,2.629,135.7954545,0.135795455
LB03,leaves,07/25/2017,bb.sample.wt,5.244,270.8677686,0.270867769
LB04,leaves,07/25/2017,bb.sample.wt,7.957,411.0020661,0.411002066
LB05,leaves,07/25/2017,bb.sample.wt,6.101,315.1342975,0.315134298
LB06,leaves,07/25/2017,bb.sample.wt,8.011,413.7913223,0.413791322
LB07,leaves,07/25/2017,bb.sample.wt,4.19,216.4256198,0.21642562
LB08,leaves,07/25/2017,bb.sample.wt,9.727,502.427686,0.502427686
LB09,leaves,07/25/2017,bb.sample.wt,4,206.6115702,0.20661157
LB10,leaves,07/25/2017,bb.sample.wt,8.463,437.1384298,0.43713843
LB11,leaves,07/25/2017,bb.sample.wt,7.107,367.0971074,0.367097107
LB12,leaves,07/25/2017,bb.sample.wt,8.185,422.7789256,0.422778926
LB13,leaves,07/25/2017,bb.sample.wt,7.336,378.9256198,0.37892562
LB14,leaves,07/25/2017,bb.sample.wt,6.218,321.177686,0.321177686
LB15,leaves,07/25/2017,bb.sample.wt,6.019,310.8987603,0.31089876
LB16,leaves,07/25/2017,bb.sample.wt,4.311,222.6756198,0.22267562
LB17,leaves,07/25/2017,bb.sample.wt,4.987,257.5929752,0.257592975
LB18,leaves,07/25/2017,bb.sample.wt,5.16,266.5289256,0.266528926
LB19,leaves,07/25/2017,bb.sample.wt,8.426,435.2272727,0.435227273
LB20,leaves,07/25/2017,bb.sample.wt,5.426,280.268595,0.280268595
LB01,leaves,08/08/2017,bb.sample.wt,5.209,269.0599174,0.269059917
LB02,leaves,08/08/2017,bb.sample.wt,4.261,220.0929752,0.220092975
LB03,leaves,08/08/2017,bb.sample.wt,7.385,381.4566116,0.381456612
LB04,leaves,08/08/2017,bb.sample.wt,8.444,436.1570248,0.436157025
LB05,leaves,08/08/2017,bb.sample.wt,11.023,569.3698347,0.569369835
LB06,leaves,08/08/2017,bb.sample.wt,28.698,1482.334711,1.482334711
