date,plot,installed_resin,nh4_ugN.day_resin,no3_ugN.day_resin
2017-09-18,1,2017-06-30,1.638,16.12266372
2017-09-18,2,2017-06-30,0.237,31.21540096
2017-09-18,2,2017-06-30,0.5235,21.34756704
2017-09-18,2,2017-06-30,3.066,58.29906081
2017-09-18,3,2017-06-30,0.336,23.94614764
2017-09-18,3,2017-06-30,1.773,25.18454804
2017-09-18,3,2017-06-30,0,15.5378352
2017-09-18,4,2017-06-30,3.4725,13.89758191
2017-09-18,4,2017-06-30,97.707,13.59303047
2017-09-18,4,2017-06-30,1.8975,10.72763588
2017-09-18,5,2017-06-30,1.695,6.10000425
2017-09-18,5,2017-06-30,1.1115,22.40523565
2017-09-18,5,2017-06-30,2.682,7.054455824
2017-09-18,6,2017-06-30,0.015,13.56875611
2017-09-18,6,2017-06-30,1.788,8.202286346
2017-09-18,6,2017-06-30,2.238,50.37847945
2017-09-18,Blanks,2017-06-30,,
2017-09-18,Blanks,2017-06-30,,
2017-09-18,Blanks,2017-06-30,,
,Skipped,,,
2017-10-19,1,2017-09-18,3.863225806,139.7514647
2017-10-19,1,2017-09-18,0.363870968,224.1654211
2017-10-19,1,2017-09-18,2.907096774,99.41694397
2017-10-19,2,2017-09-18,0,121.7853592
2017-10-19,2,2017-09-18,3.20516129,62.77904337
2017-10-19,2,2017-09-18,5.663225806,105.0741089
2017-10-19,3,2017-09-18,11.00903226,75.41829914
2017-10-19,3,2017-09-18,0.348387097,72.4951761
2017-10-19,3,2017-09-18,3.170322581,227.0225241
2017-10-19,4,2017-09-18,20.32258065,92.94277733
2017-10-19,4,2017-09-18,0.956129032,61.39985998
2017-10-19,4,2017-09-18,0.270967742,91.25435821
2017-10-19,5,2017-09-18,5.276129032,82.9729661
2017-10-19,5,2017-09-18,0.576774194,46.74075263
2017-10-19,5,2017-09-18,0,224.1895477
2017-10-19,6,2017-09-18,6.809032258,71.06667377
2017-10-19,6,2017-09-18,3.518709677,133.8457126
2017-10-19,6,2017-09-18,1.076129032,77.97584703
2017-10-19,Blanks,2017-09-18,,
2017-10-19,Blanks,2017-09-18,,
2018-01-19,1,2017-10-19,2.580652174,0
2018-01-19,1,2017-10-19,0.18326087,47.71385106
2018-01-19,1,2017-10-19,0.103695652,22.71418877
2018-01-19,2,2017-10-19,0.568043478,51.85384673
2018-01-19,2,2017-10-19,0.888913043,50.88657736
2018-01-19,2,2017-10-19,0.694565217,25.81586587
2018-01-19,3,2017-10-19,2.705869565,0
2018-01-19,3,2017-10-19,0.792391304,46.64656097
2018-01-19,3,2017-10-19,1.847608696,53.39278626
2018-01-19,4,2017-10-19,4.731521739,47.25375574
2018-01-19,4,2017-10-19,1.431521739,39.68563602
2018-01-19,4,2017-10-19,0.87326087,30.1353815
2018-01-19,5,2017-10-19,2.028913043,0
2018-01-19,5,2017-10-19,0.450652174,38.88909168
2018-01-19,5,2017-10-19,8.619782609,44.18415425
2018-01-19,6,2017-10-19,0.504130435,44.83532364
2018-01-19,6,2017-10-19,1.880217391,0
2018-01-19,6,2017-10-19,2.358913043,0
,Blank,,,
,Blank,,,
2018-05-08,1,2018-01-19,1.024954128,6.228971656
2018-05-08,1,2018-01-19,0.788256881,4.213489228
2018-05-08,1,2018-01-19,3.508623853,3.398388369
2018-05-08,2,2018-01-19,0.990825688,8.164690643
2018-05-08,2,2018-01-19,1.76587156,12.44411571
2018-05-08,2,2018-01-19,0.804770642,3.031592982
2018-05-08,3,2018-01-19,0.67706422,3.374080896
2018-05-08,3,2018-01-19,0.186055046,3.04716723
2018-05-08,3,2018-01-19,1.000733945,9.290839813
2018-05-08,4,2018-01-19,1.35853211,6.881343451
2018-05-08,4,2018-01-19,1.174678899,16.42952225
2018-05-08,4,2018-01-19,1.459816514,7.242462243
2018-05-08,5,2018-01-19,0.204770642,5.903513527
2018-05-08,5,2018-01-19,0.337981651,0.397943884
2018-05-08,5,2018-01-19,0.961100917,6.611632399
2018-05-08,6,2018-01-19,0.859816514,12.8851435
2018-05-08,6,2018-01-19,1.038165138,8.771358569
2018-05-08,6,2018-01-19,0.416146789,6.864168112
,Blank,,,
,Blank,,,
2018-08-10,1,2018-05-08,0.823404255,4.322971952
2018-08-10,1,2018-05-08,1.460425532,2.167984021
2018-08-10,1,2018-05-08,3.962553191,0.726261989
2018-08-10,2,2018-05-08,0.104680851,4.157567177
2018-08-10,2,2018-05-08,0.181276596,5.36586594
2018-08-10,2,2018-05-08,0.389361702,0.381950007
2018-08-10,3,2018-05-08,0.157021277,0
2018-08-10,3,2018-05-08,0.187659574,0.112070174
2018-08-10,3,2018-05-08,0,0.496214326
2018-08-10,4,2018-05-08,0.082978723,0.746009293
2018-08-10,4,2018-05-08,0,1.509234186
2018-08-10,4,2018-05-08,0.224680851,2.606644237
2018-08-10,5,2018-05-08,0.407234043,0.994454017
2018-08-10,5,2018-05-08,0.274468085,1.55058538
2018-08-10,5,2018-05-08,0.397021277,2.810193379
2018-08-10,6,2018-05-08,0.039574468,7.492836328
2018-08-10,6,2018-05-08,0,4.404155317
2018-08-10,6,2018-05-08,0.057446809,7.459755373
2018-08-10,6,2018-05-11,10.42723404,7.48946072
2018-08-10,6,2018-05-11,0.877021277,8.669741939
2018-08-10,6,2018-05-11,0.033191489,1.85017056
,Blank,,,
,Blank,,,
2018-11-15,1,2018-08-10,,
2018-11-15,1,2018-08-10,1.080618557,0.214591207
2018-11-15,1,2018-08-10,,
2018-11-15,2,2018-08-10,0,2.773002534
2018-11-15,2,2018-08-10,0.197319588,1.488072258
2018-11-15,2,2018-08-10,0.047628866,3.477129933
2018-11-15,3,2018-08-10,0.135463918,4.733110023
2018-11-15,3,2018-08-10,0.155257732,3.236532626
2018-11-15,3,2018-08-10,0.766391753,6.694853116
2018-11-15,4,2018-08-10,0.11443299,5.493502189
2018-11-15,4,2018-08-10,0.95443299,7.861038563
2018-11-15,4,2018-08-10,0.236907216,1.831385477
2018-11-15,5,2018-08-10,0,0.355743807
2018-11-15,5,2018-08-10,1.418350515,19.25759811
2018-11-15,5,2018-08-10,1.01628866,34.24414425
2018-11-15,6,2018-08-10,0.350721649,6.649874014
2018-11-15,6,2018-08-10,,
2018-11-15,6,2018-08-10,0.642680412,2.692694392
,Blank,,,
,Blank,,,
2018-11-15,1,,1.189484536,2.230799904
2019-02-13,1,2018-11-15,2.410666667,0.350786537
2019-02-13,1,2018-11-15,0.025333333,0.57588253
2019-02-13,1,2018-11-15,0.469333333,0.804164594
2019-02-13,2,2018-11-15,0.282666667,3.357642068
2019-02-13,2,2018-11-15,0.956,5.546314287
2019-02-13,2,2018-11-15,0.332,0.395072939
2019-02-13,3,2018-11-15,0.478666667,11.21194697
2019-02-13,3,2018-11-15,0.592,6.259516524
2019-02-13,3,2018-11-15,0.590666667,5.72059243
2019-02-13,4,2018-11-15,0.545333333,0.904525865
2019-02-13,4,2018-11-15,0.258666667,1.039137411
2019-02-13,4,2018-11-15,0.438666667,1.075299329
2019-02-13,5,2018-11-15,1.344,13.79983403
2019-02-13,5,2018-11-15,7.813333333,27.87844936
2019-02-13,5,2018-11-15,5.213333333,7.112268717
2019-02-13,6,2018-11-15,0.214666667,2.692230913
2019-02-13,6,2018-11-15,0.632,3.494005953
2019-02-13,6,2018-11-15,0.690666667,5.605575228
,Blank,,,
,Blank,,,
2019-05-16,1,2019-02-13,0.383478261,0.580973319
2019-05-16,1,2019-02-13,0.410869565,0.876758554
2019-05-16,1,2019-02-13,0.336521739,1.16615433
2019-05-16,2,2019-02-13,0.418695652,1.035871687
2019-05-16,2,2019-02-13,0.242608696,2.019692653
2019-05-16,2,2019-02-13,0.494347826,1.767231071
2019-05-16,3,2019-02-13,0.763043478,1.85091741
2019-05-16,3,2019-02-13,0.280434783,2.85234835
2019-05-16,3,2019-02-13,1.476521739,6.084791638
2019-05-16,4,2019-02-13,0.380869565,7.954254065
2019-05-16,4,2019-02-13,0.969130435,1.651597433
2019-05-16,4,2019-02-13,0.139565217,0.770631186
2019-05-16,5,2019-02-13,0.470869565,1.151661165
2019-05-16,5,2019-02-13,0.502173913,20.32985846
