date,plot,volume_lysimiter.surface.chemistry,npoc_ug.mL_lysimiter.surface.chemistry,npoc_ug_lysimiter.surface.chemistry,tn_ug.mL_lysimiter.surface.chemistry,tn_ug_lysimiter.surface.chemistry,volume_m_l_lysimiter.surface.chemistry,po4_ugP.mL_lysimiter.surface.chemistry,po4_ugP_lysimiter.surface.chemistry,no3_ugN.mL_lysimiter.surface.chemistry,no3_ugN_lysimiter.surface.chemistry,nh4_ugN.mL_lysimiter.surface.chemistry,nh4_ugN_lysimiter.surface.chemistry
2018-04-24,5,2000,3.972,7944,0.2584,516.8,2000,0,0,0.17457994,349.15988,0,0
2018-04-24,6,2650,4.658,12343.7,0.7524,1993.86,2650,0.01209906,32.062509,0.44030358000000003,1166.804487,0.51563933,1366.444224
2018-05-08,1,2790,5.732,15992.28,0.474,1322.46,2790,2.22336867,6203.198589,4.73138128,13200.55377,0.039777142,110.978225
2018-05-08,2,,,,,,2150,0.0579035,124.492525,0.10276274,220.939891,0.048630392,104.555342
2018-05-08,3,6760,5.602,37869.52,0.5394,3646.344,6760,0.44904931,3035.573336,0.27153316,1835.564162,0.134949579,912.2591559
2018-05-08,4,285,12.988,3701.58,0.8904,253.764,285,0.08261379,23.54493015,0.19150828,54.5798598,0,0
2018-05-08,5,1800,4.84,8712,0.3192,574.56,1800,0.01029099,18.523782,0.03581885,64.47393,0,0
2018-05-08,6,4680,3.08,14414.4,0.4368,2044.224,4680,0,0,6.18978342,28968.18641,0.235655298,1102.866796
2018-05-22,1,240,5.242,1258.08,0.7032,168.768,240,0,0,1.16617028,279.8808672,0.157082704,37.69984904
2018-05-22,2,,,,,,480,0.20013834,96.0664032,0.22228708,106.6977984,0.117243079,56.27667803
2018-05-22,3,65,19.634,1276.21,3.328,216.32,65,0.3170602,20.608913,1.15693664,75.2008816,0.783450143,50.9242593
2018-05-22,4,320,12.524,4007.68,0.838,268.16,320,0.20074103,64.2371296,0,0,0,0
2018-05-22,5,1040,7.634,7939.36,0.5392,560.768,1040,0.02053672,21.3581888,0.0935291,97.270264,0,0
2018-05-22,6,1220,6.792,8286.24,2.04,2488.8,1220,0.11274829,137.5529138,0.38695366,472.0834652,1.290298706,1574.164422
2018-06-05,1,65,5.798,376.87,1.252,81.38,65,0,0,0.14021028,9.1136682,2.277436083,148.0333454
2018-06-05,2,650,4.922,3199.3,0.705,458.25,650,0.54909585,356.9123025,1.11333334,723.666671,0.172575892,112.1743297
2018-06-05,3,440,10.906,4798.64,1.772,779.68,440,0.11094022,48.8136968,0.35155804,154.6855376,0.610811768,268.7571778
2018-06-05,4,250,11.624,2906,1.0004,250.1,250,0.05669812,14.17453,0.82657752,206.64438,0,0
2018-06-05,5,1260,5.636,7101.36,0.426,536.76,1260,0.03319321,41.8234446,0.27768892,349.8880392,0,0
2018-06-05,6,1450,5.288,7667.6,1.1744,1702.88,1450,0.05247929,76.0949705,4.62365548,6704.300446,0.646224768,937.0259132
2018-06-19,1,210,4.592,964.32,0.5034,105.714,210,0.20194641,42.4087461,0.19869,41.7249,0.490186236,102.9391096
2018-06-19,2,1080,6.324,6829.92,0.7916,854.928,1080,0.07538151,81.4120308,0.3423244,369.710352,0.155976048,168.4541319
2018-06-19,3,300,11.036,3310.8,1.2062,361.86,300,0.09225683,27.677049,0.06839308,20.517924,0.470266424,141.0799271
2018-06-19,4,1150,11.39,13098.5,0.6268,720.82,1150,0.02535824,29.161976,0,0,0,0
2018-06-19,5,1150,7.226,8309.9,0.4154,477.71,1150,0,0,0.04761739,54.7599985,0,0
2018-06-19,6,1575,7.39,11639.25,1.451,2285.325,1575,0.13323975,209.8526063,4.0434751,6368.473283,1.337884925,2107.168757
2018-07-04,1,8340,5.854,48822.36,0.4452,3712.968,8340,0,0,0.044444653,370.66841,0.29616,2469.9744
2018-07-04,2,2080,3.046,6335.68,0.3862,803.296,2080,0.06560976,136.4683008,0.192247127,399.8740241,0.26846625,558.4098
2018-07-04,3,510,6.672,3402.72,0.4998,254.898,510,0.04576274,23.3389974,0.045261242,23.08323328,0,0
2018-07-04,4,2430,5.65,13729.5,0.4456,1082.808,2430,0.01494763,36.3227409,0.010964535,26.64382049,0.06907125,167.8431375
2018-07-04,5,1860,3.422,6364.92,0.17596,327.2856,1860,0,0,0.0134143,24.95059788,0,0
2018-07-04,6,3950,2.36,9322,0.3388,1338.26,3950,0.01442534,56.980093,0.127736655,504.5597877,0,0
2018-07-17,1,4360,3.054,13315.44,0.3022,1317.592,4360,0,0,0.096706302,421.6394748,1.3031575,5681.7667
2018-07-17,2,2080,3.818,7941.44,0.3676,764.608,2080,0.06978808,145.1592064,0.062409595,129.8119576,0.04005875,83.3222
2018-07-17,3,1120,5.956,6670.72,0.5762,645.344,1120,0,0,0.183264656,205.2564149,0,0
2018-07-17,4,3300,6.762,22314.6,0.55,1815,3300,0,0,0.015864065,52.35141347,0,
2018-07-17,5,1240,8.582,10641.68,0.466,577.84,1240,0.07866701,97.5470924,0.0134143,16.63373192,0,
2018-07-17,6,3240,6.054,19614.96,0.718,2326.32,3240,0.09955861,322.5698964,0.102422419,331.8486386,0.0561475,181.9179
2018-07-31,1,60,5.508,330.48,1.8376,110.256,60,0.15022074,9.0132444,1.687420215,101.2452129,0.0867425,5.20455
2018-07-31,2,1030,7.192,7407.76,0.6642,684.126,1030,0.04315129,44.4458287,0.153867479,158.4835035,0,0
2018-07-31,3,340,51.42,17482.8,2.642,898.28,340,0.09329113,31.7189842,0.086907243,29.54846247,0.10124875,34.424575
2018-07-31,4,890,18.276,16265.64,1.328,1181.92,890,0.51321229,456.7589381,0.017497241,15.57254466,0.15980125,142.2231125
2018-07-31,5,420,21.12,8870.4,1.0906,458.052,420,0.05255251,22.0720542,0.010964535,4.605104776,0,0
2018-07-31,6,1320,21.36,28195.2,0.4546,600.072,1320,0.03845068,50.7548976,0,0,0.809945,1069.1274
2018-08-14,1,270,6.892,1860.84,0.368,99.36,270,0.02017053,5.4460431,0.011781123,3.180903327,0,0
2018-08-14,2,1050,10.082,10586.1,0.6714,704.97,1050,0.02539343,26.6631015,0,0,0.3336125,350.293125
2018-08-14,3,1150,45.78,52647,2.856,3284.4,1150,0.05673083,65.2404545,0.230626775,265.220791,0.15927375,183.1648125
2018-08-14,4,380,15.396,5850.48,0.9154,347.852,380,0,0,0,0,0.03056375,11.614225
2018-08-14,5,440,27.52,12108.8,1.3922,612.568,440,0.04367358,19.2163752,0,0,0,0
2018-08-14,6,2680,79.36,212684.8,0.458,1227.44,2680,0.03061633,82.0517644,0,0,0.4127375,1106.1365
2018-08-28,1,1090,6.016,6557.44,0.6258,682.122,1090,0.01233618,13.4464362,0.122020537,133.0023857,0.0466525,50.851225
