"tube","treatment","diam2","hurricane","session","depthbin.cm.","date","prodbybin","prodbybin.bystock","prod2mg.bin","mortbybin","stockbybin","dlenbybin","mortLengthbybin","lenbybin","prodSAbybin","morSAbybin","SAbybin","prodnewRMLbybin","prod2newRMLbybin","stocknewRMLbybin","mornewRMLbybin","binlength","tubelength","tubedepth","added"
"1","Control","Finer","before","9","0-10","2017-06-09","0.0164818655835615","0.0164818655835615","0.0164818655835615","0","1.59314947429711","1.253624","0","46.259152","0.830379000165217","0","43.3275933566223","0.0197264482568799","0.0197264482568799","1.32471993741523","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","19","10-20","2017-12-05","0.190752652862929","0.190752652862929","0.190752652862929","0","1.39546210684862","5.453239","0","56.70307","5.17249763801349","0","48.6601279583969","0.0788125498109087","0.158058024375957","0.543614380227168","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","17","100-110","2017-11-05","0.0369605694405017","0.0369605694405017","0.0369605694405017","0","0.0369605694405017","2.754748","0","2.754748","1.84322659615175","0","1.84322659615175","0.0132860004098257","0.0439878175665763","0.0132860004098257","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","7","0-10","2017-05-06","0.0260988320101651","0.092485668581076","0.092485668581076","0","1.55665454490059","0.432332999999999","0","40.318671","0.128987312396239","0","40.7232138318615","0.0204581407728777","0.0601821063310361","1.27226003624871","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","8","20-30","2017-05-23","0","0","0","0","0.282867203371593","0","0","16.398024","0","0","12.3072304059983","0","0","0.31140201529432","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","25","100-110","2018-02-27","0","0","0","0","0.0369605694405017","0","0","2.754748","0","0","1.84322659615175","0","0","0.0132860004098257","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","17","20-30","2017-11-05","0.124300331981678","0.124300331981678","0.124300331981678","0.116714223717516","0.326818465228882","6.653868","2.984343","20.067549","5.16660745859909","3.40051713358352","14.649863265216","0.0464467666015729","0.133289825472917","0.120197624748274","0.0466015035839066","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","15","90-100","2017-09-21","0","0","0","0.171750267984877","0.19229440703173","0","3.765181","1.608064","0","4.6317030272655","3.19546695239212","0","0","0.0856845901010576","0.0696203490711471","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","8","0-10","2017-05-23","0.0200130638129607","0.0200130638129607","0.0200130638129607","0","1.57666760871355","4.686857","0","45.005528","1.77400052459557","0","42.497214356457","0.0327334529096419","0.0327334529096419","1.30499348915835","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","20","40-50","2017-12-20","1.80367495380105","1.80367495380105","1.80367495380105","0","1.98724582975313","68.344523","0","74.374828","62.400680879812","0","68.4665094645709","0.699722020074593","1.74422875350237","0.771236814399315","0","12.0229007633588","132.3","110.04",NA
"1","Control","Coarse","after","22","100-110","2018-01-18","0","0","0","0","23.872387188044","0","0","10.214996","0","0","89.1010412812","0","0","14.2427459993575","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","2","70-80","2017-02-14","-0.00661442928908855","-0.00661442928908854","-0.00661442928908854","0","0.255628394267044","-0.378744","0","16.424215","0","0","11.8114505568299","-0.00731629370743947","-0.00731629370743947","0.291536420660712","0","12.0229007633588","132.3","110.04",NA
"1","Control","Fine","before","10","70-80","2017-06-26","0","0","0","0","5.39691763764904","0","0","8.167664","0","0","37.9968815164243","0","0","2.17643194806215","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","27","30-40","2018-04-04","0.0759880640353454","0.0759880640353453","0.0759880640353453","0","9.64086839842331","6.356054","0","436.080682","0.971416563928092","0","335.492770880715","0.0290245278112957","0.0811313064571813","3.80280009644076","0","12.0229007633588","132.3","110.04",NA
"1","Control","Coarse","after","17","100-110","2017-11-05","0","0","0","0","23.872387188044","0","0","10.214996","0","0","89.1010412812","0","0","14.2427459993575","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","9","20-30","2017-06-09","0","0","0","0","0.282867203371593","0","0","16.398024","0","0","12.3072304059983","0","0","0.31140201529432","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","30","20-30","2018-05-16","0.0702551123445898","0.0761375926909829","0.0761375926909829","0.0141160056729256","8.95813283962764","6.738465","2.287472","317.689465","1.15413066826294","1.03734107767343","276.392603892788","0.0267313427776108","0.0830059753434846","3.61397657220118","0.00470652801170515","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","9","30-40","2017-06-09","0","0","0","0","1.04061291825485","0","0","9.598585","0","0","18.1655796468456","0","0","0.693236851627503","0","12.0229007633588","132.3","110.04",NA
