"","plot","treatment","date","diam2","prod.newRMLg.m2.day","prod2.newRMLg.m2.day","mort.newRMLg.m2.day","stock.newRMLg.m2","prod.g.m2.day.arit"
"160",1,"Control",2018-04-18,"Coarse",0,0,0,1324.98941866272,0
"161",3,"Control",2018-04-18,"Coarse",0,0,0,89.7871166855765,0
"162",5,"Control",2018-04-18,"Coarse",0,0,0,2631.86041774761,0
"163",2,"Warming",2018-05-02,"Coarse",0,0,0,0,0
"164",4,"Warming",2018-05-02,"Coarse",0,0,0,0,0
"165",6,"Warming",2018-05-02,"Coarse",0,0,0,831.192865487065,0
"166",1,"Control",2018-05-02,"Coarse",0,0,0,1324.98941866272,0
"167",3,"Control",2018-05-02,"Coarse",0,0,0,89.7871166855765,0
"168",5,"Control",2018-05-02,"Coarse",1.15545769701913,0.592327162033899,0,2648.03682550587,1.97461780131573
"169",2,"Warming",2018-05-16,"Coarse",0,0,0,0,0
"170",4,"Warming",2018-05-16,"Coarse",0,0,0,0,0
"171",6,"Warming",2018-05-16,"Coarse",0,0,0,831.192865487065,0
"172",1,"Control",2018-05-16,"Coarse",0,0,0,1324.98941866272,0
"173",3,"Control",2018-05-16,"Coarse",0,0,0,89.7871166855765,0
"174",5,"Control",2018-05-16,"Coarse",0,2.17820810320011,0,2847.82690215735,9.20846967159335
"175",2,"Warming",2018-05-30,"Coarse",0,0,0,0,0
"176",4,"Warming",2018-05-30,"Coarse",0,0,0,0,0
"177",6,"Warming",2018-05-30,"Coarse",0,0,0,831.192865487065,0
"178",1,"Control",2018-05-30,"Coarse",0,0,0,1324.98941866272,0
"179",3,"Control",2018-05-30,"Coarse",0,0,0,89.7871166855765,0
"180",5,"Control",2018-05-30,"Coarse",0.931975484642847,0,0,2835.76684800731,-1.21937721277852
"181",2,"Warming",2018-06-14,"Coarse",0,0,0,0,0
"182",4,"Warming",2018-06-14,"Coarse",0,0,0,0,0
"183",6,"Warming",2018-06-14,"Coarse",0,0,0,831.192865487065,0
"184",1,"Control",2018-06-14,"Coarse",0,0,0,1324.98941866272,0
"185",3,"Control",2018-06-14,"Coarse",0,0,0,89.7871166855765,0
"186",5,"Control",2018-06-14,"Coarse",0,0,0,2831.23403597624,-0.531140661805851
"187",2,"Warming",2018-06-27,"Coarse",0,0,0,0,0
"188",4,"Warming",2018-06-27,"Coarse",0,0,0,0,0
"189",6,"Warming",2018-06-27,"Coarse",0,0,0,831.192865487065,0
"190",1,"Control",2018-06-27,"Coarse",0,0,0,1324.98941866272,0
"191",3,"Control",2018-06-27,"Coarse",0,0,0,89.7871166855765,0
"192",5,"Control",2018-06-27,"Coarse",0.0558573452985084,0.0224262666085419,0,2831.48030024432,0.0428598164894928
